Process count: 16
Iteration: 1 | Clusters found so far: (0, 17, 36, 41), (1,), (2, 5, 40), (3, 13, 28), (4, 16, 24, 26, 27, 49), (6, 19, 42), (7,), (8,), (9, 12, 20, 34), (10,), (11, 22), (14, 39), (15,), (18,), (21, 23, 45, 50), (25,), (29, 37), (30, 31, 44, 46), (32,), (33,), (35,), (38,), (43,), (47,), (48,) | Number: 25 | Elapsed time: 0:00:00.061823
Iteration: 12 | Clusters found so far: (0, 17, 36, 41), (1, 21, 23, 45, 50), (2, 5, 7, 15, 38, 39, 40, 43, 47), (3, 13, 28), (4, 8, 16, 24, 26, 27, 49), (6, 12, 19, 42, 48), (9, 20, 34), (10, 11, 22, 33), (14, 29, 31, 37), (18,), (25,), (30, 32, 44, 46), (35,) | Number: 13 | Elapsed time: 0:00:00.750287
Iteration: 13 | Clusters found so far: (0, 17, 36, 41), (1, 21, 23, 45, 50), (2, 5, 7, 15, 38, 39, 40, 43, 47), (3, 13, 28), (4, 8, 16, 24, 26, 27, 49), (6, 12, 19, 42, 48), (9, 20, 34), (10, 11, 22, 33), (14, 29, 31, 37), (18,), (25,), (30, 32, 44, 46), (35,) | Number: 13 | Elapsed time: 0:00:00.808602
Iteration: 14 | Clusters found so far: (0, 17, 36, 41), (1, 21, 23, 45, 50), (2, 5, 7, 15, 38, 40, 43, 47), (3, 13, 28), (4, 8, 16, 24, 26, 27, 49), (6, 12, 19, 42, 48), (9, 20, 34), (10, 11, 22, 33), (14, 29, 31, 37, 39, 46), (18,), (25,), (30, 32, 44), (35,) | Number: 13 | Elapsed time: 0:00:00.869555
Iteration: 15 | Clusters found so far: (0, 17, 36, 41), (1, 21, 23, 30, 45, 50), (2, 5, 15, 38, 43, 47), (3, 13, 28), (4, 8, 16, 24, 26, 27, 49), (6, 12, 19, 42, 48), (7, 14, 29, 31, 32, 37, 39, 40, 44, 46), (9, 20, 34), (10, 11, 22, 33), (18,), (25,), (35,) | Number: 12 | Elapsed time: 0:00:00.930082
Iteration: 16 | Clusters found so far: (0, 17, 36, 41), (1, 21, 23, 30, 45, 50), (2, 5, 15, 38, 43, 47), (3, 13, 28), (4, 8, 16, 24, 26, 27, 49), (6, 12, 19, 42, 48), (7, 14, 29, 31, 32, 37, 39, 40, 44, 46), (9, 20, 34), (10, 11, 22, 33), (18,), (25,), (35,) | Number: 12 | Elapsed time: 0:00:00.994747
Iteration: 17 | Clusters found so far: (0, 17, 34, 36, 41), (1, 21, 23, 30, 45, 50), (2, 5, 15, 38, 43, 47), (3, 13, 28), (4, 8, 16, 24, 26, 27, 49), (6, 12, 19, 42, 48), (7, 14, 29, 31, 32, 37, 39, 40, 44, 46), (9, 20), (10, 11, 22, 33), (18,), (25,), (35,) | Number: 12 | Elapsed time: 0:00:01.060481
Iteration: 18 | Clusters found so far: (0, 9, 17, 20, 34, 36, 41), (1, 21, 23, 30, 45, 50), (2, 5, 15, 38, 43, 47), (3, 13, 28), (4, 8, 16, 24, 26, 27, 49), (6, 12, 19, 42, 48), (7, 14, 29, 31, 32, 37, 39, 40, 44, 46), (10, 11, 22, 33), (18,), (25,), (35,) | Number: 11 | Elapsed time: 0:00:01.126638
Iteration: 19 | Clusters found so far: (0, 9, 17, 20, 34, 36, 41), (1, 21, 23, 30, 45, 50), (2, 5, 15, 38, 43, 47), (3, 13, 28), (4, 8, 16, 24, 26, 27, 49), (6, 12, 19, 42, 48), (7, 14, 29, 31, 32, 37, 39, 40, 44, 46), (10, 11, 22, 33), (18,), (25,), (35,) | Number: 11 | Elapsed time: 0:00:01.194227
Iteration: 20 | Clusters found so far: (0, 9, 17, 20, 34, 36, 41), (1, 21, 23, 30, 45, 50), (2, 5, 15, 38, 43, 47), (3, 13, 28), (4, 8, 16, 24, 26, 27, 49), (6, 12, 19, 42, 48), (7, 14, 29, 31, 32, 37, 39, 40, 44, 46), (10, 11, 22, 33), (18,), (25,), (35,) | Number: 11 | Elapsed time: 0:00:01.258559
Iteration: 21 | Clusters found so far: (0, 9, 17, 20, 34, 36, 41), (1, 21, 23, 30, 45, 50), (2, 5, 15, 38, 43, 47), (3, 13, 28), (4, 8, 16, 24, 26, 27, 49), (6, 12, 19, 42, 48), (7, 14, 29, 31, 32, 37, 39, 40, 44, 46), (10, 11, 22, 33), (18,), (25,), (35,) | Number: 11 | Elapsed time: 0:00:01.319132
Iteration: 22 | Clusters found so far: (0, 9, 17, 20, 34, 36, 41), (1, 21, 23, 30, 45, 50), (2, 5, 15, 38, 43, 47), (3, 13, 28), (4, 8, 16, 24, 26, 27, 49), (6, 12, 19, 42, 48), (7, 14, 29, 31, 32, 37, 39, 40, 44, 46), (10, 11, 22, 33), (18,), (25,), (35,) | Number: 11 | Elapsed time: 0:00:01.388244
Iteration: 23 | Clusters found so far: (0, 9, 17, 20, 34, 36, 41), (1, 21, 23, 30, 45, 50), (2, 5, 15, 38, 43, 47), (3, 13, 28), (4, 8, 16, 24, 26, 27, 49), (6, 12, 19, 42, 48), (7, 14, 29, 31, 32, 37, 39, 40, 44, 46), (10, 11), (18,), (22, 33), (25,), (35,) | Number: 12 | Elapsed time: 0:00:01.463953
Iteration: 24 | Clusters found so far: (0, 9, 17, 20, 34, 36, 41), (1, 21, 23, 30, 45, 50), (2, 5, 38, 43, 47), (3, 13, 28), (4, 8, 16, 24, 26, 27, 33, 49), (6, 12, 19, 22, 42, 48), (7, 14, 29, 31, 32, 37, 39, 40, 44, 46), (10, 11, 15), (18,), (25,), (35,) | Number: 11 | Elapsed time: 0:00:01.535520
Iteration: 25 | Clusters found so far: (0, 9, 17, 20, 34, 36, 41), (1, 21, 23, 30, 45, 50), (2, 5, 38, 43, 47), (3, 13, 28), (4, 8, 16, 24, 26, 27, 33, 49), (6, 12, 19, 22, 42, 48), (7, 14, 29, 31, 32, 37, 39, 40, 44, 46), (10, 11, 15), (18,), (25,), (35,) | Number: 11 | Elapsed time: 0:00:01.599123
Iteration: 26 | Clusters found so far: (0, 9, 17, 20, 34, 36, 41), (1, 21, 23, 30, 45, 50), (2, 5, 38, 43, 47), (3, 13, 28), (4, 8, 16, 24, 26, 27, 33, 49), (6, 12, 19, 22, 42, 48), (7, 14, 29, 31, 32, 37, 39, 40, 44, 46), (10, 11, 15, 35), (18,), (25,) | Number: 10 | Elapsed time: 0:00:01.658609
Iteration: 27 | Clusters found so far: (0, 9, 17, 20, 34, 36, 41), (1, 21, 23, 30, 45, 50), (2, 5, 38, 43, 47), (3, 13, 28), (4, 8, 16, 24, 26, 27, 33, 49), (6, 12, 19, 22, 42, 48), (7, 14, 29, 31, 32, 37, 39, 40, 44, 46), (10, 11, 15, 35), (18,), (25,) | Number: 10 | Elapsed time: 0:00:01.717817
Iteration: 28 | Clusters found so far: (0, 9, 17, 20, 34, 36, 41), (1, 21, 23, 30, 45, 50), (2, 5, 38, 43, 47), (3, 13, 28), (4, 8, 16, 24, 26, 27, 33, 49), (6, 12, 19, 22, 42, 48), (7, 14, 29, 31, 32, 37, 39, 40, 44, 46), (10, 11, 15, 35), (18,), (25,) | Number: 10 | Elapsed time: 0:00:01.780159
